disease_id,icd9cm,name
1457,289.59,OTHER DISEASES OF SPLEEN
1458,289.6,FAMILIAL POLYCYTHEMIA
1459,289.7,METHEMOGLOBINEMIA
1460,289.81,PRIMARY HYPERCOAGULABLE STATE
1461,289.82,SECONDARY HYPERCOAGULABLE STATE
1462,289.83,MYELOFIBROSIS
1463,289.84,HEPARIN-INDUCED THROMBOCYTOPENIA (HIT)
1464,289.89,OTHER SPECIFIED DISEASES OF BLOOD AND BLOOD-FORMING ORGANS
1465,289.9,UNSPECIFIED DISEASES OF BLOOD AND BLOOD-FORMING ORGANS
1466,290.0,"SENILE DEMENTIA, UNCOMPLICATED"
1467,290.10,"PRESENILE DEMENTIA, UNCOMPLICATED"
1468,290.11,PRESENILE DEMENTIA WITH DELIRIUM
1469,290.12,PRESENILE DEMENTIA WITH DELUSIONAL FEATURES
1470,290.13,PRESENILE DEMENTIA WITH DEPRESSIVE FEATURES
1471,290.20,SENILE DEMENTIA WITH DELUSIONAL FEATURES
1472,290.21,SENILE DEMENTIA WITH DEPRESSIVE FEATURES
1473,290.3,SENILE DEMENTIA WITH DELIRIUM
1474,290.40,"VASCULAR DEMENTIA, UNCOMPLICATED"
1475,290.41,"VASCULAR DEMENTIA, WITH DELIRIUM"
1476,290.42,"VASCULAR DEMENTIA, WITH DELUSIONS"
1477,290.43,"VASCULAR DEMENTIA, WITH DEPRESSED MOOD"
1478,290.9,UNSPECIFIED SENILE PSYCHOTIC CONDITION
1479,291.0,ALCOHOL WITHDRAWAL DELIRIUM
1480,291.1,ALCOHOL-INDUCED PERSISTING AMNESTIC DISORDER
1481,291.2,ALCOHOL-INDUCED PERSISTING DEMENTIA
1482,291.3,ALCOHOL-INDUCED PSYCHOTIC DISORDER WITH HALLUCINATIONS
1483,291.5,ALCOHOL-INDUCED PSYCHOTIC DISORDER WITH DELUSIONS
1484,291.81,ALCOHOL WITHDRAWAL
1485,291.89,OTHER ALCOHOL-INDUCED MENTAL DISORDERS
1486,291.9,UNSPECIFIED ALCOHOL-INDUCED MENTAL DISORDERS
1487,292.0,DRUG WITHDRAWAL
1488,292.11,DRUG-INDUCED PSYCHOTIC DISORDER WITH DELUSIONS
1489,292.12,DRUG-INDUCED PSYCHOTIC DISORDER WITH HALLUCINATIONS
1490,292.2,PATHOLOGICAL DRUG INTOXICATION
1491,292.81,DRUG-INDUCED DELIRIUM
1492,292.82,DRUG-INDUCED PERSISTING DEMENTIA
1493,292.84,DRUG-INDUCED MOOD DISORDER
1494,292.85,DRUG INDUCED SLEEP DISORDERS
1495,292.89,OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS
1496,292.9,UNSPECIFIED DRUG-INDUCED MENTAL DISORDER
1497,293.0,DELIRIUM DUE TO CONDITIONS CLASSIFIED ELSEWHERE
1498,293.1,SUBACUTE DELIRIUM
1499,293.81,PSYCHOTIC DISORDER WITH DELUSIONS IN CONDITIONS CLASSIFIED ELSEWHERE
1500,293.82,PSYCHOTIC DISORDER WITH HALLUCINATIONS IN CONDITIONS CLASSIFIED ELSEWHERE
1501,293.83,MOOD DISORDER IN CONDITIONS CLASSIFIED ELSEWHERE
1502,293.84,ANXIETY DISORDER IN CONDITIONS CLASSIFIED ELSEWHERE
1503,293.89,"OTHER SPECIFIED TRANSIENT MENTAL DISORDERS DUE TO CONDITIONS CLASSIFIED ELSEWHERE, OTHER"
1504,293.9,UNSPECIFIED TRANSIENT MENTAL DISORDER IN CONDITIONS CLASSIFIED ELSEWHERE
1505,294.0,AMNESTIC DISORDER IN CONDITIONS CLASSIFIED ELSEWHERE
1506,294.10,DEMENTIA IN CONDITIONS CLASSIFIED ELSEWHERE WITHOUT BEHAVIORAL DISTURBANCE
1507,294.11,DEMENTIA IN CONDITIONS CLASSIFIED ELSEWHERE WITH BEHAVIORAL DISTURBANCE
1508,294.8,OTHER PERSISTENT MENTAL DISORDERS DUE TO CONDITIONS CLASSIFIED ELSEWHERE
1509,294.9,UNSPECIFIED PERSISTENT MENTAL DISORDERS DUE TO CONDITIONS CLASSIFIED ELSEWHERE
1510,295.00,"SIMPLE TYPE SCHIZOPHRENIA, UNSPECIFIED"
1511,295.10,"DISORGANIZED TYPE SCHIZOPHRENIA, UNSPECIFIED"
1512,295.12,"DISORGANIZED TYPE SCHIZOPHRENIA, CHRONIC"
1513,295.14,"DISORGANIZED TYPE SCHIZOPHRENIA, CHRONIC WITH ACUTE EXACERBATION"
1514,295.20,"CATATONIC TYPE SCHIZOPHRENIA, UNSPECIFIED"
1515,295.22,"CATATONIC TYPE SCHIZOPHRENIA, CHRONIC"
1516,295.30,"PARANOID TYPE SCHIZOPHRENIA, UNSPECIFIED"
1517,295.31,"PARANOID TYPE SCHIZOPHRENIA, SUBCHRONIC"
1518,295.32,"PARANOID TYPE SCHIZOPHRENIA, CHRONIC"
1519,295.33,"PARANOID TYPE SCHIZOPHRENIA, SUBCHRONIC WITH ACUTE EXACERBATION"
1520,295.34,"PARANOID TYPE SCHIZOPHRENIA, CHRONIC WITH ACUTE EXACERBATION"
1521,295.35,"PARANOID TYPE SCHIZOPHRENIA, IN REMISSION"
1522,295.40,"SCHIZOPHRENIFORM DISORDER, UNSPECIFIED"
1523,295.50,"LATENT SCHIZOPHRENIA, UNSPECIFIED"
1524,295.52,"LATENT SCHIZOPHRENIA, CHRONIC"
1525,295.60,"SCHIZOPHRENIC DISORDERS, RESIDUAL TYPE, UNSPECIFIED"
1526,295.62,"SCHIZOPHRENIC DISORDERS, RESIDUAL TYPE, CHRONIC"
1527,295.63,"SCHIZOPHRENIC DISORDERS, RESIDUAL TYPE, SUBCHRONIC WITH ACUTE EXACERBATION"
1528,295.64,"SCHIZOPHRENIC DISORDERS, RESIDUAL TYPE, CHRONIC WITH ACUTE EXACERBATION"
1529,295.70,"SCHIZOAFFECTIVE DISORDER, UNSPECIFIED"
1530,295.72,"SCHIZOAFFECTIVE DISORDER, CHRONIC"
1531,295.74,"SCHIZOAFFECTIVE DISORDER, CHRONIC WITH ACUTE EXACERBATION"
1532,295.75,"SCHIZOAFFECTIVE DISORDER, IN REMISSION"
1533,295.80,"OTHER SPECIFIED TYPES OF SCHIZOPHRENIA, UNSPECIFIED"
1534,295.82,"OTHER SPECIFIED TYPES OF SCHIZOPHRENIA, CHRONIC"
1535,295.90,"UNSPECIFIED SCHIZOPHRENIA, UNSPECIFIED"
1536,295.91,"UNSPECIFIED SCHIZOPHRENIA, SUBCHRONIC"
1537,295.92,"UNSPECIFIED SCHIZOPHRENIA, CHRONIC"
1538,295.93,"UNSPECIFIED SCHIZOPHRENIA, SUBCHRONIC WITH ACUTE EXACERBATION"
1539,295.94,"UNSPECIFIED SCHIZOPHRENIA, CHRONIC WITH ACUTE EXACERBATION"
1540,295.95,"UNSPECIFIED SCHIZOPHRENIA, IN REMISSION"
1541,296.00,"BIPOLAR I DISORDER, SINGLE MANIC EPISODE, UNSPECIFIED"
1542,296.01,"BIPOLAR I DISORDER, SINGLE MANIC EPISODE, MILD"
1543,296.02,"BIPOLAR I DISORDER, SINGLE MANIC EPISODE, MODERATE"
1544,296.03,"BIPOLAR I DISORDER, SINGLE MANIC EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR"
1545,296.04,"BIPOLAR I DISORDER, SINGLE MANIC EPISODE, SEVERE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR"
1546,296.05,"BIPOLAR I DISORDER, SINGLE MANIC EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION"
1547,296.06,"BIPOLAR I DISORDER, SINGLE MANIC EPISODE, IN FULL REMISSION"
1548,296.10,"MANIC AFFECTIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED"
1549,296.15,"MANIC AFFECTIVE DISORDER, RECURRENT EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION"
1550,296.20,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, UNSPECIFIED"
1551,296.21,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, MILD"
1552,296.22,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, MODERATE"
1553,296.23,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR"
1554,296.24,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, SEVERE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR"
1555,296.25,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION"
1556,296.26,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, SINGLE EPISODE, IN FULL REMISSION"
1557,296.30,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED"
1558,296.31,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, MILD"
1559,296.32,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, MODERATE"
1560,296.33,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR"
1561,296.34,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, SEVERE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR"
1562,296.35,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION"
1563,296.36,"MAJOR DEPRESSIVE AFFECTIVE DISORDER, RECURRENT EPISODE, IN FULL REMISSION"
1564,296.40,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MANIC, UNSPECIFIED"
1565,296.41,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MANIC, MILD"
1566,296.42,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MANIC, MODERATE"
1567,296.43,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MANIC, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR"
1568,296.44,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MANIC, SEVERE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR"
1569,296.45,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MANIC, IN PARTIAL OR UNSPECIFIED REMISSION"
1570,296.46,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MANIC, IN FULL REMISSION"
1571,296.50,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) DEPRESSED, UNSPECIFIED"
1572,296.51,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) DEPRESSED, MILD"
1573,296.52,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) DEPRESSED, MODERATE"
1574,296.53,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) DEPRESSED, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR"
1575,296.54,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) DEPRESSED, SEVERE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR"
1576,296.55,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) DEPRESSED, IN PARTIAL OR UNSPECIFIED REMISSION"
1577,296.56,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) DEPRESSED, IN FULL REMISSION"
1578,296.60,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MIXED, UNSPECIFIED"
1579,296.61,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MIXED, MILD"
1580,296.62,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MIXED, MODERATE"
1581,296.63,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MIXED, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR"
1582,296.64,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MIXED, SEVERE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR"
1583,296.65,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MIXED, IN PARTIAL OR UNSPECIFIED REMISSION"
1584,296.66,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) MIXED, IN FULL REMISSION"
1585,296.7,"BIPOLAR I DISORDER, MOST RECENT EPISODE (OR CURRENT) UNSPECIFIED"
1586,296.80,"BIPOLAR DISORDER, UNSPECIFIED"
1587,296.81,ATYPICAL MANIC DISORDER
1588,296.82,ATYPICAL DEPRESSIVE DISORDER
1589,296.89,OTHER BIPOLAR DISORDERS
1590,296.90,UNSPECIFIED EPISODIC MOOD DISORDER
1591,296.99,OTHER SPECIFIED EPISODIC MOOD DISORDER
1592,297.0,"PARANOID STATE, SIMPLE"
1593,297.1,DELUSIONAL DISORDER
1594,297.3,SHARED PSYCHOTIC DISORDER
1595,297.8,OTHER SPECIFIED PARANOID STATES
1596,297.9,UNSPECIFIED PARANOID STATE
1597,298.0,DEPRESSIVE TYPE PSYCHOSIS
1598,298.1,EXCITATIVE TYPE PSYCHOSIS
1599,298.2,REACTIVE CONFUSION
1600,298.3,ACUTE PARANOID REACTION
1601,298.4,PSYCHOGENIC PARANOID PSYCHOSIS
1602,298.8,OTHER AND UNSPECIFIED REACTIVE PSYCHOSIS
1603,298.9,UNSPECIFIED PSYCHOSIS
1604,299.00,"AUTISTIC DISORDER, CURRENT OR ACTIVE STATE"
1605,299.01,"AUTISTIC DISORDER, RESIDUAL STATE"
1606,299.10,"CHILDHOOD DISINTEGRATIVE DISORDER, CURRENT OR ACTIVE STATE"
1607,299.80,"OTHER SPECIFIED PERVASIVE DEVELOPMENTAL DISORDERS, CURRENT OR ACTIVE STATE"
1608,299.81,"OTHER SPECIFIED PERVASIVE DEVELOPMENTAL DISORDERS, RESIDUAL STATE"
1609,299.90,"UNSPECIFIED PERVASIVE DEVELOPMENTAL DISORDER, CURRENT OR ACTIVE STATE"
1610,300.00,"ANXIETY STATE, UNSPECIFIED"
1611,300.01,PANIC DISORDER WITHOUT AGORAPHOBIA
1612,300.02,GENERALIZED ANXIETY DISORDER
1613,300.09,OTHER ANXIETY STATES
1614,300.10,"HYSTERIA, UNSPECIFIED"
1615,300.11,CONVERSION DISORDER
1616,300.12,DISSOCIATIVE AMNESIA
1617,300.13,DISSOCIATIVE FUGUE
1618,300.14,DISSOCIATIVE IDENTITY DISORDER
1619,300.15,"DISSOCIATIVE DISORDER OR REACTION, UNSPECIFIED"
1620,300.16,FACTITIOUS DISORDER WITH PREDOMINANTLY PSYCHOLOGICAL SIGNS AND SYMPTOMS
1621,300.19,OTHER AND UNSPECIFIED FACTITIOUS ILLNESS
1622,300.20,"PHOBIA, UNSPECIFIED"
1623,300.21,AGORAPHOBIA WITH PANIC DISORDER
1624,300.22,AGORAPHOBIA WITHOUT MENTION OF PANIC ATTACKS
1625,300.23,SOCIAL PHOBIA
1626,300.29,OTHER ISOLATED OR SPECIFIC PHOBIAS
1627,300.3,OBSESSIVE-COMPULSIVE DISORDERS
1628,300.4,DYSTHYMIC DISORDER
1629,300.5,NEURASTHENIA
1630,300.6,DEPERSONALIZATION DISORDER
1631,300.7,HYPOCHONDRIASIS
1632,300.81,SOMATIZATION DISORDER
1633,300.82,UNDIFFERENTIATED SOMATOFORM DISORDER
1634,300.89,OTHER SOMATOFORM DISORDERS
1635,300.9,UNSPECIFIED NONPSYCHOTIC MENTAL DISORDER
1636,301.0,PARANOID PERSONALITY DISORDER
1637,301.10,"AFFECTIVE PERSONALITY DISORDER, UNSPECIFIED"
1638,301.11,CHRONIC HYPOMANIC PERSONALITY DISORDER
1639,301.12,CHRONIC DEPRESSIVE PERSONALITY DISORDER
1640,301.13,CYCLOTHYMIC DISORDER
1641,301.20,"SCHIZOID PERSONALITY DISORDER, UNSPECIFIED"
1642,301.22,SCHIZOTYPAL PERSONALITY DISORDER
1643,301.3,EXPLOSIVE PERSONALITY DISORDER
1644,301.4,OBSESSIVE-COMPULSIVE PERSONALITY DISORDER
1645,301.50,"HISTRIONIC PERSONALITY DISORDER, UNSPECIFIED"
1646,301.51,CHRONIC FACTITIOUS ILLNESS WITH PHYSICAL SYMPTOMS
1647,301.59,OTHER HISTRIONIC PERSONALITY DISORDER
1648,301.6,DEPENDENT PERSONALITY DISORDER
1649,301.7,ANTISOCIAL PERSONALITY DISORDER
1650,301.81,NARCISSISTIC PERSONALITY DISORDER
1651,301.82,AVOIDANT PERSONALITY DISORDER
1652,301.83,BORDERLINE PERSONALITY DISORDER
1653,301.84,PASSIVE-AGGRESSIVE PERSONALITY
1654,301.89,OTHER PERSONALITY DISORDERS
1655,301.9,UNSPECIFIED PERSONALITY DISORDER
1656,302.2,PEDOPHILIA
1657,302.3,TRANSVESTIC FETISHISM
1658,302.4,EXHIBITIONISM
1659,302.50,TRANS-SEXUALISM WITH UNSPECIFIED SEXUAL HISTORY
1660,302.6,GENDER IDENTITY DISORDER IN CHILDREN
1661,302.70,"PSYCHOSEXUAL DYSFUNCTION, UNSPECIFIED"
1662,302.71,HYPOACTIVE SEXUAL DESIRE DISORDER
1663,302.72,PSYCHOSEXUAL DYSFUNCTION WITH INHIBITED SEXUAL EXCITEMENT
1664,302.73,FEMALE ORGASMIC DISORDER
1665,302.74,MALE ORGASMIC DISORDER
1666,302.75,PREMATURE EJACULATION
1667,302.76,"DYSPAREUNIA, PSYCHOGENIC"
1668,302.79,PSYCHOSEXUAL DYSFUNCTION WITH OTHER SPECIFIED PSYCHOSEXUAL DYSFUNCTIONS
1669,302.81,FETISHISM
1670,302.82,VOYEURISM
1671,302.85,GENDER IDENTITY DISORDER IN ADOLESCENTS OR ADULTS
1672,302.89,OTHER SPECIFIED PSYCHOSEXUAL DISORDERS
1673,302.9,UNSPECIFIED PSYCHOSEXUAL DISORDER
1674,303.00,"ACUTE ALCOHOLIC INTOXICATION IN ALCOHOLISM, UNSPECIFIED"
1675,303.01,"ACUTE ALCOHOLIC INTOXICATION IN ALCOHOLISM, CONTINUOUS"
1676,303.02,"ACUTE ALCOHOLIC INTOXICATION IN ALCOHOLISM, EPISODIC"
1677,303.03,"ACUTE ALCOHOLIC INTOXICATION IN ALCOHOLISM, IN REMISSION"
1678,303.90,"OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, UNSPECIFIED"
1679,303.91,"OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, CONTINUOUS"
1680,303.92,"OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, EPISODIC"
1681,303.93,"OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, IN REMISSION"
1682,304.00,"OPIOID TYPE DEPENDENCE, UNSPECIFIED"
1683,304.01,"OPIOID TYPE DEPENDENCE, CONTINUOUS"
1684,304.03,"OPIOID TYPE DEPENDENCE, IN REMISSION"
1685,304.10,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC DEPENDENCE, UNSPECIFIED"
1686,304.11,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC DEPENDENCE, CONTINUOUS"
1687,304.13,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC DEPENDENCE, IN REMISSION"
1688,304.20,"COCAINE DEPENDENCE, UNSPECIFIED"
1689,304.21,"COCAINE DEPENDENCE, CONTINUOUS"
1690,304.23,"COCAINE DEPENDENCE, IN REMISSION"
1691,304.30,"CANNABIS DEPENDENCE, UNSPECIFIED"
1692,304.31,"CANNABIS DEPENDENCE, CONTINUOUS"
1693,304.33,"CANNABIS DEPENDENCE, IN REMISSION"
1694,304.40,"AMPHETAMINE AND OTHER PSYCHOSTIMULANT DEPENDENCE, UNSPECIFIED"
1695,304.41,"AMPHETAMINE AND OTHER PSYCHOSTIMULANT DEPENDENCE, CONTINUOUS"
1696,304.42,"AMPHETAMINE AND OTHER PSYCHOSTIMULANT DEPENDENCE, EPISODIC"
1697,304.43,"AMPHETAMINE AND OTHER PSYCHOSTIMULANT DEPENDENCE, IN REMISSION"
1698,304.50,"HALLUCINOGEN DEPENDENCE, UNSPECIFIED"
1699,304.60,"OTHER SPECIFIED DRUG DEPENDENCE, UNSPECIFIED"
1700,304.63,"OTHER SPECIFIED DRUG DEPENDENCE, IN REMISSION"
1701,304.70,"COMBINATIONS OF OPIOID TYPE DRUG WITH ANY OTHER DRUG DEPENDENCE, UNSPECIFIED"
1702,304.73,"COMBINATIONS OF OPIOID TYPE DRUG WITH ANY OTHER DRUG DEPENDENCE, IN REMISSION"
1703,304.80,"COMBINATIONS OF DRUG DEPENDENCE EXCLUDING OPIOID TYPE DRUG, UNSPECIFIED"
1704,304.81,"COMBINATIONS OF DRUG DEPENDENCE EXCLUDING OPIOID TYPE DRUG, CONTINUOUS"
1705,304.83,"COMBINATIONS OF DRUG DEPENDENCE EXCLUDING OPIOID TYPE DRUG, IN REMISSION"
1706,304.90,"UNSPECIFIED DRUG DEPENDENCE, UNSPECIFIED"
1707,304.91,"UNSPECIFIED DRUG DEPENDENCE, CONTINUOUS"
1708,304.93,"UNSPECIFIED DRUG DEPENDENCE, IN REMISSION"
1709,305.00,"ALCOHOL ABUSE, UNSPECIFIED"
1710,305.01,"ALCOHOL ABUSE, CONTINUOUS"
1711,305.02,"ALCOHOL ABUSE, EPISODIC"
1712,305.03,"ALCOHOL ABUSE, IN REMISSION"
1713,305.1,TOBACCO USE DISORDER
1714,305.20,"CANNABIS ABUSE, UNSPECIFIED"
1715,305.21,"CANNABIS ABUSE, CONTINUOUS"
1716,305.22,"CANNABIS ABUSE, EPISODIC"
1717,305.23,"CANNABIS ABUSE, IN REMISSION"
1718,305.30,"HALLUCINOGEN ABUSE, UNSPECIFIED"
1719,305.33,"HALLUCINOGEN ABUSE, IN REMISSION"
1720,305.40,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC ABUSE, UNSPECIFIED"
1721,305.43,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC ABUSE, IN REMISSION"
1722,305.50,"OPIOID ABUSE, UNSPECIFIED"
1723,305.51,"OPIOID ABUSE, CONTINUOUS"
1724,305.53,"OPIOID ABUSE, IN REMISSION"
1725,305.60,"COCAINE ABUSE, UNSPECIFIED"
1726,305.61,"COCAINE ABUSE, CONTINUOUS"
1727,305.62,"COCAINE ABUSE, EPISODIC"
1728,305.63,"COCAINE ABUSE, IN REMISSION"
1729,305.70,"AMPHETAMINE OR RELATED ACTING SYMPATHOMIMETIC ABUSE, UNSPECIFIED"
1730,305.71,"AMPHETAMINE OR RELATED ACTING SYMPATHOMIMETIC ABUSE, CONTINUOUS"
1731,305.72,"AMPHETAMINE OR RELATED ACTING SYMPATHOMIMETIC ABUSE, EPISODIC"
1732,305.73,"AMPHETAMINE OR RELATED ACTING SYMPATHOMIMETIC ABUSE, IN REMISSION"
1733,305.80,"ANTIDEPRESSANT TYPE ABUSE, UNSPECIFIED"
1734,305.90,"OTHER, MIXED, OR UNSPECIFIED DRUG ABUSE, UNSPECIFIED"
1735,305.91,"OTHER, MIXED, OR UNSPECIFIED DRUG ABUSE, CONTINUOUS"
1736,305.92,"OTHER, MIXED, OR UNSPECIFIED DRUG ABUSE, EPISODIC"
1737,305.93,"OTHER, MIXED, OR UNSPECIFIED DRUG ABUSE, IN REMISSION"
1738,306.0,MUSCULOSKELETAL MALFUNCTION ARISING FROM MENTAL FACTORS
1739,306.1,RESPIRATORY MALFUNCTION ARISING FROM MENTAL FACTORS
1740,306.2,CARDIOVASCULAR MALFUNCTION ARISING FROM MENTAL FACTORS
1741,306.3,SKIN DISORDER ARISING FROM MENTAL FACTORS
1742,306.4,GASTROINTESTINAL MALFUNCTION ARISING FROM MENTAL FACTORS
1743,306.51,PSYCHOGENIC VAGINISMUS
1744,306.53,PSYCHOGENIC DYSURIA
1745,306.8,OTHER SPECIFIED PSYCHOPHYSIOLOGICAL MALFUNCTION
1746,306.9,UNSPECIFIED PSYCHOPHYSIOLOGICAL MALFUNCTION
1747,307.0,ADULT ONSET FLUENCY DISORDER
1748,307.1,ANOREXIA NERVOSA
1749,307.20,"TIC DISORDER, UNSPECIFIED"
1750,307.21,TRANSIENT TIC DISORDER
1751,307.22,CHRONIC MOTOR OR VOCAL TIC DISORDER
1752,307.23,TOURETTE'S DISORDER
1753,307.3,STEREOTYPIC MOVEMENT DISORDER
1754,307.40,"NONORGANIC SLEEP DISORDER, UNSPECIFIED"
1755,307.41,TRANSIENT DISORDER OF INITIATING OR MAINTAINING SLEEP
1756,307.42,PERSISTENT DISORDER OF INITIATING OR MAINTAINING SLEEP
1757,307.43,TRANSIENT DISORDER OF INITIATING OR MAINTAINING WAKEFULNESS
1758,307.44,PERSISTENT DISORDER OF INITIATING OR MAINTAINING WAKEFULNESS
1759,307.45,CIRCADIAN RHYTHM SLEEP DISORDER OF NONORGANIC ORIGIN
1760,307.46,SLEEP AROUSAL DISORDER
1761,307.47,OTHER DYSFUNCTIONS OF SLEEP STAGES OR AROUSAL FROM SLEEP
1762,307.49,OTHER SPECIFIC DISORDERS OF SLEEP OF NONORGANIC ORIGIN
1763,307.50,"EATING DISORDER, UNSPECIFIED"
1764,307.51,BULIMIA NERVOSA
1765,307.52,PICA
1766,307.53,RUMINATION DISORDER
1767,307.54,PSYCHOGENIC VOMITING
1768,307.59,OTHER DISORDERS OF EATING
1769,307.6,ENURESIS
1770,307.7,ENCOPRESIS
1771,307.80,"PSYCHOGENIC PAIN, SITE UNSPECIFIED"
1772,307.81,TENSION HEADACHE
1773,307.89,OTHER PAIN DISORDERS RELATED TO PSYCHOLOGICAL FACTORS
1774,307.9,"OTHER AND UNSPECIFIED SPECIAL SYMPTOMS OR SYNDROMES, NOT ELSEWHERE CLASSIFIED"
1775,308.0,PREDOMINANT DISTURBANCE OF EMOTIONS
1776,308.1,PREDOMINANT DISTURBANCE OF CONSCIOUSNESS
1777,308.2,PREDOMINANT PSYCHOMOTOR DISTURBANCE
1778,308.3,OTHER ACUTE REACTIONS TO STRESS
1779,308.4,MIXED DISORDERS AS REACTION TO STRESS
1780,308.9,UNSPECIFIED ACUTE REACTION TO STRESS
1781,309.0,ADJUSTMENT DISORDER WITH DEPRESSED MOOD
1782,309.1,PROLONGED DEPRESSIVE REACTION
1783,309.21,SEPARATION ANXIETY DISORDER
1784,309.22,EMANCIPATION DISORDER OF ADOLESCENCE AND EARLY ADULT LIFE
1785,309.23,SPECIFIC ACADEMIC OR WORK INHIBITION
1786,309.24,ADJUSTMENT DISORDER WITH ANXIETY
1787,309.28,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD
1788,309.29,OTHER ADJUSTMENT REACTIONS WITH PREDOMINANT DISTURBANCE OF OTHER EMOTIONS
1789,309.3,ADJUSTMENT DISORDER WITH DISTURBANCE OF CONDUCT
1790,309.4,ADJUSTMENT DISORDER WITH MIXED DISTURBANCE OF EMOTIONS AND CONDUCT
1791,309.81,POSTTRAUMATIC STRESS DISORDER
1792,309.82,ADJUSTMENT REACTION WITH PHYSICAL SYMPTOMS
1793,309.83,ADJUSTMENT REACTION WITH WITHDRAWAL
1794,309.89,OTHER SPECIFIED ADJUSTMENT REACTIONS
1795,309.9,UNSPECIFIED ADJUSTMENT REACTION
1796,310.0,FRONTAL LOBE SYNDROME
1797,310.1,PERSONALITY CHANGE DUE TO CONDITIONS CLASSIFIED ELSEWHERE
1798,310.2,POSTCONCUSSION SYNDROME
1799,310.9,UNSPECIFIED NONPSYCHOTIC MENTAL DISORDER FOLLOWING ORGANIC BRAIN DAMAGE
